NAME,Grouping
Pia and Kiran Nalaar,red_creatures
"Purphoros, God of the Forge",red_creatures
Thundermaw Hellkite,red_creatures
Zealous Conscripts,red_creatures
Siege-Gang Commander,red_creatures
Inferno Titan,red_creatures
Greater Gargadon,red_creatures
Lightning Bolt,red_non_creatures
Faithless Looting,red_non_creatures
Chain Lightning,red_non_creatures
Firebolt,red_non_creatures
Burst Lightning,red_non_creatures
Incinerate,red_non_creatures
Abrade,red_non_creatures
Magma Jet,red_non_creatures
Arc Trail,red_non_creatures
Smash to Smithereens,red_non_creatures
Mizzium Mortars,red_non_creatures
Searing Blaze,red_non_creatures
Wheel of Fortune,red_non_creatures
Sulfuric Vortex,red_non_creatures
Char,red_non_creatures
Rift Bolt,red_non_creatures
Exquisite Firecraft,red_non_creatures
Sneak Attack,red_non_creatures
Koth of the Hammer,red_non_creatures
Fiery Confluence,red_non_creatures
"Chandra, Torch of Defiance",red_non_creatures
Through the Breach,red_non_creatures
Burning of Xinye,red_non_creatures
"Chandra, Flamecaller",red_non_creatures
Fireblast,red_non_creatures
Rolling Earthquake,red_non_creatures
Bonfire of the Damned,red_non_creatures
Snapcaster Mage,blue_creatures
"Jace, Vryn's Prodigy",blue_creatures
Phantasmal Image,blue_creatures
Looter il-Kor,blue_creatures
Thing in the Ice,blue_creatures
Vendilion Clique,blue_creatures
Man-o'-War,blue_creatures
True-Name Nemesis,blue_creatures
Trinket Mage,blue_creatures
"Kira, Great Glass-Spinner",blue_creatures
Phyrexian Metamorph,blue_creatures
Glen Elendra Archmage,blue_creatures
Sower of Temptation,blue_creatures
"Venser, Shaper Savant",blue_creatures
Mulldrifter,blue_creatures
Consecrated Sphinx,blue_creatures
Torrential Gearhulk,blue_creatures
Inkwell Leviathan,blue_creatures
Ponder,blue_non_creatures
Brainstorm,blue_non_creatures
Ancestral Recall,blue_non_creatures
Mystical Tutor,blue_non_creatures
Preordain,blue_non_creatures
Force Spike,blue_non_creatures
Ancestral Vision,blue_non_creatures
Counterspell,blue_non_creatures
Mana Drain,blue_non_creatures
Impulse,blue_non_creatures
Remand,blue_non_creatures
Time Walk,blue_non_creatures
Mana Leak,blue_non_creatures
Daze,blue_non_creatures
Search for Azcanta,blue_non_creatures
Miscalculation,blue_non_creatures
Cyclonic Rift,blue_non_creatures
Tinker,blue_non_creatures
Show and Tell,blue_non_creatures
Timetwister,blue_non_creatures
Thirst for Knowledge,blue_non_creatures
Jace Beleren,blue_non_creatures
Supreme Will,blue_non_creatures
Fact or Fiction,blue_non_creatures
Opposition,blue_non_creatures
Cryptic Command,blue_non_creatures
Control Magic,blue_non_creatures
"Jace, the Mind Sculptor",blue_non_creatures
Gifts Ungiven,blue_non_creatures
Force of Will,blue_non_creatures
Mystic Confluence,blue_non_creatures
Treachery,blue_non_creatures
Bribery,blue_non_creatures
Tezzeret the Seeker,blue_non_creatures
"Tamiyo, the Moon Sage",blue_non_creatures
Upheaval,blue_non_creatures
Time Spiral,blue_non_creatures
Dig Through Time,blue_non_creatures
Treasure Cruise,blue_non_creatures
Condescend,blue_non_creatures
Mother of Runes,white_creatures
"Kytheon, Hero of Akros",white_creatures
Student of Warfare,white_creatures
Skymarcher Aspirant,white_creatures
Dauntless Bodyguard,white_creatures
"Isamaru, Hound of Konda",white_creatures
"Thalia, Guardian of Thraben",white_creatures
Stoneforge Mystic,white_creatures
Wall of Omens,white_creatures
Selfless Spirit,white_creatures
Adanto Vanguard,white_creatures
Accorder Paladin,white_creatures
Imposing Sovereign,white_creatures
Glory-Bound Initiate,white_creatures
Flickerwisp,white_creatures
Blade Splicer,white_creatures
Porcelain Legionnaire,white_creatures
Monastery Mentor,white_creatures
"Thalia, Heretic Cathar",white_creatures
"Brimaz, King of Oreskos",white_creatures
Recruiter of the Guard,white_creatures
Brightling,white_creatures
Restoration Angel,white_creatures
Hero of Bladehold,white_creatures
"Linvala, Keeper of Silence",white_creatures
"Gisela, the Broken Blade",white_creatures
Reveillark,white_creatures
Archangel Avacyn,white_creatures
Lyra Dawnbringer,white_creatures
Baneslayer Angel,white_creatures
Archangel of Thune,white_creatures
Sun Titan,white_creatures
"Elesh Norn, Grand Cenobite",white_creatures
"Iona, Shield of Emeria",white_creatures
Swords to Plowshares,white_non_creatures
Path to Exile,white_non_creatures
Enlightened Tutor,white_non_creatures
Mana Tithe,white_non_creatures
Land Tax,white_non_creatures
Balance,white_non_creatures
Declaration in Stone,white_non_creatures
Disenchant,white_non_creatures
Oblivion Ring,white_non_creatures
Lingering Souls,white_non_creatures
Banishing Light,white_non_creatures
Council's Judgment,white_non_creatures
Spear of Heliod,white_non_creatures
Gideon of the Trials,white_non_creatures
Wrath of God,white_non_creatures
Armageddon,white_non_creatures
"Elspeth, Knight-Errant",white_non_creatures
Moat,white_non_creatures
"Gideon, Ally of Zendikar",white_non_creatures
Ravages of War,white_non_creatures
Parallax Wave,white_non_creatures
Gideon Jura,white_non_creatures
"Elspeth, Sun's Champion",white_non_creatures
Unexpectedly Absent,white_non_creatures
Gravecrawler,black_creatures
Bloodsoaked Champion,black_creatures
Carrion Feeder,black_creatures
Pack Rat,black_creatures
Dark Confidant,black_creatures
Oona's Prowler,black_creatures
Kitesail Freebooter,black_creatures
Bloodghast,black_creatures
Hypnotic Specter,black_creatures
Vampire Nighthawk,black_creatures
Ophiomancer,black_creatures
Flesh Carver,black_creatures
"Drana, Liberator of Malakir",black_creatures
"Liliana, Heretical Healer",black_creatures
Ravenous Chupacabra,black_creatures
"Braids, Cabal Minion",black_creatures
"Kalitas, Traitor of Ghet",black_creatures
Skinrender,black_creatures
Nekrataal,black_creatures
Shriekmaw,black_creatures
Doom Whisperer,black_creatures
"Tasigur, the Golden Fang",black_creatures
Grave Titan,black_creatures
Massacre Wurm,black_creatures
"Sheoldred, Whispering One",black_creatures
Griselbrand,black_creatures
Duress,black_non_creatures
Vampiric Tutor,black_non_creatures
Dark Ritual,black_non_creatures
Reanimate,black_non_creatures
Thoughtseize,black_non_creatures
Inquisition of Kozilek,black_non_creatures
Entomb,black_non_creatures
Imperial Seal,black_non_creatures
Demonic Tutor,black_non_creatures
Animate Dead,black_non_creatures
Hymn to Tourach,black_non_creatures
Bitterblossom,black_non_creatures
Go for the Throat,black_non_creatures
Exhume,black_non_creatures
Ultimate Price,black_non_creatures
Collective Brutality,black_non_creatures
Chainer's Edict,black_non_creatures
Liliana of the Veil,black_non_creatures
Recurring Nightmare,black_non_creatures
Toxic Deluge,black_non_creatures
Necromancy,black_non_creatures
Hero's Downfall,black_non_creatures
"Liliana, the Last Hope",black_non_creatures
Yawgmoth's Will,black_non_creatures
Phyrexian Arena,black_non_creatures
Damnation,black_non_creatures
Vraska's Contempt,black_non_creatures
Nether Void,black_non_creatures
The Abyss,black_non_creatures
Living Death,black_non_creatures
Yawgmoth's Bargain,black_non_creatures
Mind Twist,black_non_creatures
Supreme Verdict,azorius
Geist of Saint Traft,azorius
Dragonlord Ojutai,azorius
"Teferi, Hero of Dominaria",azorius
Vindicate,orzhov
"Sorin, Lord of Innistrad",orzhov
Tidehollow Sculler,orzhov
Sphinx of the Steel Wind,orzhov
Baleful Strix,dimir
The Scarab God,dimir
"Tezzeret, Agent of Bolas",dimir
Dragonlord Silumgar,dimir
Assassin's Trophy,golgari
Pernicious Deed,golgari
Maelstrom Pulse,golgari
Deathrite Shaman,golgari
Kolaghan's Command,rakdos
Rakdos Cackler,rakdos
Dreadbore,rakdos
Olivia Voldaren,rakdos
"Edric, Spymaster of Trest",simic
Trygon Predator,simic
Mystic Snake,simic
"Nissa, Steward of Elements",simic
Bloodbraid Elf,gruul
Dragonlord Atarka,gruul
Huntmaster of the Fells,gruul
"Xenagos, the Reveler",gruul
Dack Fayden,izzet
Electrolyze,izzet
Fire // Ice,izzet
Izzet Charm,izzet
Kitchen Finks,selesnya
Qasali Pridemage,selesnya
Voice of Resurgence,selesnya
Mirari's Wake,selesnya
Ajani Vengeant,boros
Figure of Destiny,boros
Lightning Helix,boros
"Tajic, Legion's Edge",boros
